<TICKER> <PER> <DATE> <TIME> <CLOSE>
YNDX D 20230816 000000 2570.6000000
YNDX D 20230817 000000 2581.6000000
YNDX D 20230818 000000 2602.2000000
YNDX D 20230821 000000 2662.4000000
YNDX D 20230822 000000 2710.8000000
YNDX D 20230823 000000 2604.0000000
YNDX D 20230824 000000 2648.4000000
YNDX D 20230825 000000 2648.6000000
YNDX D 20230828 000000 2670.0000000
YNDX D 20230829 000000 2698.8000000
YNDX D 20230830 000000 2668.2000000
YNDX D 20230831 000000 2689.0000000
YNDX D 20230901 000000 2690.2000000
YNDX D 20230904 000000 2744.0000000
YNDX D 20230905 000000 2726.6000000
YNDX D 20230906 000000 2664.6000000
YNDX D 20230907 000000 2585.6000000
YNDX D 20230908 000000 2547.6000000
YNDX D 20230911 000000 2488.8000000
YNDX D 20230912 000000 2579.2000000
YNDX D 20230913 000000 2550.8000000
YNDX D 20230914 000000 2508.8000000
YNDX D 20230915 000000 2568.0000000
YNDX D 20230918 000000 2518.0000000
YNDX D 20230919 000000 2442.2000000
YNDX D 20230920 000000 2418.0000000
YNDX D 20230921 000000 2355.4000000
YNDX D 20230922 000000 2410.2000000
YNDX D 20230925 000000 2391.0000000
YNDX D 20230926 000000 2391.0000000
YNDX D 20230927 000000 2453.8000000
YNDX D 20230928 000000 2439.4000000
YNDX D 20230929 000000 2402.2000000
YNDX D 20231002 000000 2395.8000000
YNDX D 20231003 000000 2386.8000000
YNDX D 20231004 000000 2379.6000000
YNDX D 20231005 000000 2480.0000000
YNDX D 20231006 000000 2482.2000000
YNDX D 20231009 000000 2477.4000000
YNDX D 20231010 000000 2485.2000000
YNDX D 20231011 000000 2444.0000000
YNDX D 20231012 000000 2465.0000000
YNDX D 20231013 000000 2513.0000000
